Code,Name,Attendance,Seen_in_4hrs,Admissions
RYG,Coventry And Warwickshire Partnership NHS Trust,0,N/A,0
Y02613,Coventry NHS Healthcare Ctr,1310,N/A,0
RLT,George Eliot Hospital NHS Trust,1324,95.90%,250
RJC,South Warwickshire NHS Foundation Trust,1277,97.70%,333
RKB,University Hospitals Coventry And Warwickshire NHS Trust,3666,91.70%,912
RWP,Worcestershire Acute Hospitals NHS Trust,2871,94.50%,651
R1A,Worcestershire Health And Care NHS Trust,716,N/A,0
RLQ,Wye Valley NHS Trust,1078,90.40%,257
NTYH1,Assura Minerva Llp,571,N/A,0
Y00058,Carfax Health Enterprise,627,N/A,0
R1J,Gloucestershire Care Services NHS Trust,1309,N/A,0
RTE,Gloucestershire Hospitals NHS Foundation Trust,2341,93.60%,713
RN3,Great Western Hospitals NHS Foundation Trust,2327,93.60%,388
RD1,Royal United Hospital Bath NHS Trust,1399,92.40%,477
RNZ,Salisbury NHS Foundation Trust,834,93.90%,202
NLY,Seqol,276,N/A,0
NLX,Sirona Care & Health,146,N/A,0
AAH,Tetbury Hospital Trust Ltd,64,N/A,0
NL7,Assura Vertis Urgent Care Centres (Birmingham),1395,N/A,0
Y03432,Badger Walsall Ooh,192,N/A,0
RQ3,Birmingham Children's Hospital NHS Foundation Trust,1161,96.90%,234
RYW,Birmingham Community Healthcare NHS Trust,180,N/A,0
M85813,Birmingham Wic,680,N/A,0
RLU,Birmingham Women's NHS Foundation Trust,0,N/A,0
Y02737,Dudley Borough Walk In Centre,1021,N/A,0
NTPAL,Greet General Practice & Urgent Care Centre,512,N/A,0
RR1,Heart Of England NHS Foundation Trust,4799,88.90%,"1,596"
RXK,Sandwell And West Birmingham Hospitals NHS Trust,4921,89.30%,785
Y02736,Showell Park Health & Walk In Centre,518,N/A,0
Y02568,Solihull Healthcare & Walk-In-Centre,1127,N/A,0
Y02615,South Birmingham GP Walk In Centre,1070,N/A,0
Y02961,Summerfield GP Surg & Urgent Care Centre,894,N/A,0
RNA,The Dudley Group NHS Foundation Trust,1952,89.30%,507
RL4,The Royal Wolverhampton NHS Trust,2987,93.50%,442
RRK,University Hospitals Birmingham NHS Foundation Trust,1985,97.00%,522
RBK,Walsall Healthcare NHS Trust,2087,90.30%,401
Y02628,Walsall Walk In Health Centre,1222,N/A,0
NLW,Bristol Community Health,1213,N/A,0
RVJ,North Bristol NHS Trust,2104,84.50%,517
NLT,North Somerset Community Partnership Community Interest Company,152,N/A,0
RH5,Somerset Partnership NHS Foundation Trust,1549,N/A,0
RBA,Taunton And Somerset NHS Foundation Trust,1073,96.90%,322
RA7,University Hospitals Bristol NHS Foundation Trust,2246,86.70%,568
RA3,Weston Area Health NHS Trust,1094,97.50%,271
RA4,Yeovil District Hospital NHS Foundation Trust,930,96.80%,269
RTV,5 Boroughs Partnership NHS Foundation Trust,996,N/A,0
RJR,Countess Of Chester Hospital NHS Foundation Trust,1652,94.80%,349
RJN,East Cheshire NHS Trust,1036,96.70%,226
RBT,Mid Cheshire Hospitals NHS Foundation Trust,1662,92.50%,218
RWW,Warrington And Halton Hospitals NHS Foundation Trust,1966,96.60%,413
RY7,Wirral Community NHS Trust,985,N/A,0
RBL,Wirral University Teaching Hospital NHS Foundation Trust,2451,81.30%,597
RLN,City Hospitals Sunderland NHS Foundation Trust,2535,93.30%,600
RNN,Cumbria Partnership NHS Foundation Trust,814,N/A,0
Y02647,Encompass GP Practice 2,602,N/A,0
RR7,Gateshead Health NHS Foundation Trust,1371,96.70%,359
RNL,North Cumbria University Hospitals NHS Trust,1509,97.20%,372
RTF,Northumbria Healthcare NHS Foundation Trust,3240,97.30%,863
RE9,South Tyneside NHS Foundation Trust,3546,93.90%,259
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,3814,95.80%,510
RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,2119,93.30%,489
RFS,Chesterfield Royal Hospital NHS Foundation Trust,1383,98.10%,383
RTG,Derby Hospitals NHS Foundation Trust,3304,95.00%,720
Y02442,Derby Open Access Centre,706,N/A,0
RY8,Derbyshire Community Health Services NHS Trust,911,N/A,0
NNJ,Derbyshire Health United Ltd,360,N/A,0
NLV02,NHS Nottingham City 8Am - 8Pm Health Centre,850,N/A,0
NR3,Nottingham Citycare Partnership,1233,N/A,0
RX1,Nottingham University Hospitals NHS Trust,3840,88.40%,823
RK5,Sherwood Forest Hospitals NHS Foundation Trust,2757,94.90%,525
Y02596,Cardrew Health Centre,471,N/A,0
RBZ,Northern Devon Healthcare NHS Trust,2436,89.50%,282
NLL,Peninsula Community Health C.I.C,1499,N/A,0
NR5,Plymouth Community Healthcare (Cic),480,N/A,0
RK9,Plymouth Hospitals NHS Trust,1779,97.00%,486
REF,Royal Cornwall Hospitals NHS Trust,1346,81.60%,443
RH8,Royal Devon And Exeter NHS Foundation Trust,1981,93.90%,555
RA9,South Devon Healthcare NHS Foundation Trust,1473,94.40%,473
R1G,Torbay And Southern Devon Health And Care NHS Trust,850,N/A,0
RXP,County Durham And Darlington NHS Foundation Trust,5752,90.90%,780
RVW,North Tees And Hartlepool NHS Foundation Trust,1751,97.20%,281
RTR,South Tees Hospitals NHS Foundation Trust,3961,96.40%,546
RGT,Cambridge University Hospitals NHS Foundation Trust,2189,93.20%,695
