Code,Area Team
RYG,"Arden, Herefordshire And Worcestershire Area Team"
Y02613,"Arden, Herefordshire And Worcestershire Area Team"
RLT,"Arden, Herefordshire And Worcestershire Area Team"
RJC,"Arden, Herefordshire And Worcestershire Area Team"
RKB,"Arden, Herefordshire And Worcestershire Area Team"
RWP,"Arden, Herefordshire And Worcestershire Area Team"
R1A,"Arden, Herefordshire And Worcestershire Area Team"
RLQ,"Arden, Herefordshire And Worcestershire Area Team"
NTYH1,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
Y00058,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
R1J,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
RTE,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
RN3,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
RD1,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
RNZ,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
NLY,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
NLX,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
AAH,"Bath, Gloucestershire, Swindon And Wiltshire Area Team"
NL7,Birmingham And The Black Country Area Team
Y03432,Birmingham And The Black Country Area Team
RQ3,Birmingham And The Black Country Area Team
RYW,Birmingham And The Black Country Area Team
M85813,Birmingham And The Black Country Area Team
RLU,Birmingham And The Black Country Area Team
Y02737,Birmingham And The Black Country Area Team
NTPAL,Birmingham And The Black Country Area Team
RR1,Birmingham And The Black Country Area Team
RXK,Birmingham And The Black Country Area Team
Y02736,Birmingham And The Black Country Area Team
Y02568,Birmingham And The Black Country Area Team
Y02615,Birmingham And The Black Country Area Team
Y02961,Birmingham And The Black Country Area Team
RNA,Birmingham And The Black Country Area Team
RL4,Birmingham And The Black Country Area Team
RRK,Birmingham And The Black Country Area Team
RBK,Birmingham And The Black Country Area Team
Y02628,Birmingham And The Black Country Area Team
NLW,"Bristol, North Somerset, Somerset And South Gloucestershire Area Team"
RVJ,"Bristol, North Somerset, Somerset And South Gloucestershire Area Team"
NLT,"Bristol, North Somerset, Somerset And South Gloucestershire Area Team"
RH5,"Bristol, North Somerset, Somerset And South Gloucestershire Area Team"
